Unnamed: 0,name,year,month,day,hour,lat,long,status,wind,pressure
370,Anita,1977,8,30,18,26.5,-90.6,hurricane,65,997
371,Anita,1977,8,31,0,26.4,-91.0,hurricane,70,991
372,Anita,1977,8,31,6,26.3,-91.4,hurricane,75,988
373,Anita,1977,8,31,12,26.2,-91.8,hurricane,75,986
374,Anita,1977,8,31,18,26.1,-92.3,hurricane,80,985
375,Anita,1977,9,1,0,25.9,-92.8,hurricane,80,979
376,Anita,1977,9,1,6,25.8,-93.7,hurricane,85,972
377,Anita,1977,9,1,12,25.5,-94.7,hurricane,90,963
378,Anita,1977,9,1,18,25.2,-95.5,hurricane,110,945
379,Anita,1977,9,2,0,24.6,-96.2,hurricane,140,931
380,Anita,1977,9,2,6,24.2,-97.1,hurricane,150,926
381,Anita,1977,9,2,12,23.7,-98.0,hurricane,120,940
382,Anita,1977,9,2,18,23.1,-99.2,hurricane,70,978
721,David,1979,8,27,6,11.8,-48.5,hurricane,65,980
722,David,1979,8,27,12,11.8,-50.0,hurricane,80,966
723,David,1979,8,27,18,11.9,-51.5,hurricane,95,954
724,David,1979,8,28,0,12.2,-52.9,hurricane,115,947
725,David,1979,8,28,6,12.5,-54.4,hurricane,125,941
726,David,1979,8,28,12,12.8,-55.7,hurricane,130,938
727,David,1979,8,28,18,13.2,-56.9,hurricane,125,941
728,David,1979,8,29,0,13.7,-58.0,hurricane,120,944
729,David,1979,8,29,6,14.2,-59.2,hurricane,120,942
730,David,1979,8,29,12,14.8,-60.3,hurricane,125,938
731,David,1979,8,29,18,15.3,-61.6,hurricane,125,933
732,David,1979,8,30,0,15.6,-62.8,hurricane,130,929
733,David,1979,8,30,6,16.0,-64.2,hurricane,140,925
734,David,1979,8,30,12,16.3,-65.2,hurricane,145,924
735,David,1979,8,30,18,16.6,-66.2,hurricane,150,924
736,David,1979,8,31,0,16.8,-67.3,hurricane,145,927
737,David,1979,8,31,6,17.0,-68.3,hurricane,145,928
738,David,1979,8,31,12,17.2,-69.1,hurricane,145,927
739,David,1979,8,31,18,17.9,-69.7,hurricane,150,926
740,David,1979,9,1,0,18.8,-70.4,hurricane,130,953
741,David,1979,9,1,6,19.3,-72.0,hurricane,100,978
742,David,1979,9,1,12,19.7,-73.7,hurricane,65,1002
744,David,1979,9,2,0,21.3,-75.2,hurricane,65,997
745,David,1979,9,2,6,21.9,-75.5,hurricane,70,990
746,David,1979,9,2,12,23.0,-76.3,hurricane,70,984
747,David,1979,9,2,18,23.9,-77.4,hurricane,75,979
748,David,1979,9,3,0,24.6,-78.2,hurricane,80,976
749,David,1979,9,3,6,25.3,-79.1,hurricane,80,974
750,David,1979,9,3,12,26.3,-79.6,hurricane,85,973
751,David,1979,9,3,18,27.2,-80.2,hurricane,85,972
752,David,1979,9,4,0,28.0,-80.5,hurricane,85,971
753,David,1979,9,4,6,29.1,-80.8,hurricane,85,970
754,David,1979,9,4,12,30.2,-80.9,hurricane,85,970
755,David,1979,9,4,18,31.5,-81.2,hurricane,80,970
756,David,1979,9,5,0,32.5,-81.1,hurricane,65,972
941,Allen,1980,8,3,0,12.4,-51.4,hurricane,65,985
942,Allen,1980,8,3,6,12.6,-53.6,hurricane,70,980
943,Allen,1980,8,3,12,12.8,-55.6,hurricane,80,975
944,Allen,1980,8,3,18,12.9,-57.5,hurricane,95,965
945,Allen,1980,8,4,0,13.3,-59.1,hurricane,110,950
946,Allen,1980,8,4,6,13.6,-61.0,hurricane,115,948
947,Allen,1980,8,4,12,14.0,-63.0,hurricane,125,945
948,Allen,1980,8,4,18,14.4,-64.9,hurricane,130,930
949,Allen,1980,8,5,0,14.8,-66.7,hurricane,140,911
950,Allen,1980,8,5,6,15.4,-68.6,hurricane,145,916
951,Allen,1980,8,5,12,15.9,-70.5,hurricane,155,932
952,Allen,1980,8,5,18,16.5,-72.3,hurricane,150,940
953,Allen,1980,8,6,0,17.8,-73.8,hurricane,140,945
954,Allen,1980,8,6,6,18.3,-75.9,hurricane,115,955
955,Allen,1980,8,6,12,19.2,-78.0,hurricane,115,955
956,Allen,1980,8,6,18,20.0,-80.1,hurricane,125,955
957,Allen,1980,8,7,0,20.1,-81.9,hurricane,135,945
958,Allen,1980,8,7,6,20.4,-83.6,hurricane,145,935
959,Allen,1980,8,7,12,21.0,-84.8,hurricane,155,910
960,Allen,1980,8,7,18,21.8,-86.4,hurricane,165,899
961,Allen,1980,8,8,0,22.2,-87.9,hurricane,155,920
962,Allen,1980,8,8,6,22.8,-89.2,hurricane,130,945
963,Allen,1980,8,8,12,23.4,-90.5,hurricane,115,960
964,Allen,1980,8,8,18,23.9,-91.8,hurricane,130,940
965,Allen,1980,8,9,0,24.5,-93.0,hurricane,145,912
966,Allen,1980,8,9,6,25.0,-94.2,hurricane,155,909
967,Allen,1980,8,9,12,25.2,-95.4,hurricane,140,916
968,Allen,1980,8,9,18,25.4,-96.1,hurricane,125,925
969,Allen,1980,8,10,0,25.8,-96.8,hurricane,110,935
970,Allen,1980,8,10,6,26.1,-97.2,hurricane,100,945
971,Allen,1980,8,10,12,26.7,-98.1,hurricane,85,960
972,Allen,1980,8,10,18,27.3,-99.0,hurricane,70,970
3031,Gilbert,1988,9,11,0,15.9,-66.8,hurricane,65,989
3032,Gilbert,1988,9,11,6,16.2,-68.0,hurricane,80,982
3033,Gilbert,1988,9,11,12,16.1,-69.5,hurricane,95,975
3034,Gilbert,1988,9,11,18,16.2,-70.7,hurricane,100,970
3035,Gilbert,1988,9,12,0,16.8,-72.0,hurricane,105,964
3036,Gilbert,1988,9,12,6,17.3,-73.7,hurricane,110,962
3037,Gilbert,1988,9,12,12,17.6,-75.3,hurricane,110,960
3038,Gilbert,1988,9,12,17,17.8,-76.8,hurricane,115,960
3039,Gilbert,1988,9,12,18,17.9,-76.9,hurricane,110,960
3040,Gilbert,1988,9,13,0,18.2,-78.5,hurricane,110,960
3041,Gilbert,1988,9,13,6,18.5,-79.7,hurricane,115,952
3042,Gilbert,1988,9,13,12,18.8,-81.1,hurricane,125,934
3043,Gilbert,1988,9,13,18,19.4,-82.5,hurricane,140,905
3044,Gilbert,1988,9,14,0,19.7,-83.8,hurricane,160,888
3045,Gilbert,1988,9,14,6,19.9,-85.3,hurricane,155,889
3046,Gilbert,1988,9,14,12,20.4,-86.5,hurricane,145,892
3047,Gilbert,1988,9,14,15,20.7,-87.0,hurricane,140,900
3048,Gilbert,1988,9,14,18,20.9,-87.8,hurricane,130,925
3049,Gilbert,1988,9,15,0,21.3,-89.5,hurricane,100,944
3050,Gilbert,1988,9,15,6,21.6,-90.7,hurricane,90,949
3051,Gilbert,1988,9,15,12,21.9,-91.7,hurricane,85,950
3052,Gilbert,1988,9,15,18,22.1,-92.8,hurricane,90,950
3053,Gilbert,1988,9,16,0,22.5,-93.8,hurricane,100,949
3054,Gilbert,1988,9,16,6,22.9,-94.8,hurricane,110,946
3055,Gilbert,1988,9,16,12,23.7,-95.9,hurricane,115,948
3056,Gilbert,1988,9,16,18,23.9,-97.0,hurricane,115,950
3057,Gilbert,1988,9,16,22,24.2,-97.8,hurricane,110,955
3058,Gilbert,1988,9,17,0,24.4,-98.2,hurricane,80,964
3491,Hugo,1989,9,13,18,12.8,-43.5,hurricane,65,987
3492,Hugo,1989,9,14,0,12.9,-44.9,hurricane,70,984
3493,Hugo,1989,9,14,6,13.0,-46.3,hurricane,80,980
3494,Hugo,1989,9,14,12,13.2,-47.8,hurricane,85,975
3495,Hugo,1989,9,14,18,13.6,-49.1,hurricane,90,970
3496,Hugo,1989,9,15,0,13.8,-50.5,hurricane,100,962
3497,Hugo,1989,9,15,6,14.0,-51.9,hurricane,110,957
3498,Hugo,1989,9,15,12,14.2,-53.3,hurricane,125,940
3499,Hugo,1989,9,15,18,14.6,-54.6,hurricane,140,918
3500,Hugo,1989,9,16,0,14.8,-56.1,hurricane,135,923
3501,Hugo,1989,9,16,6,15.1,-57.3,hurricane,130,927
3502,Hugo,1989,9,16,12,15.4,-58.4,hurricane,120,940
3503,Hugo,1989,9,16,18,15.8,-59.4,hurricane,120,941
3504,Hugo,1989,9,17,0,16.1,-60.4,hurricane,120,941
3505,Hugo,1989,9,17,5,16.3,-61.3,hurricane,120,941
3506,Hugo,1989,9,17,6,16.4,-61.5,hurricane,120,943
3507,Hugo,1989,9,17,12,16.6,-62.5,hurricane,125,949
3508,Hugo,1989,9,17,18,16.9,-63.5,hurricane,125,945
3509,Hugo,1989,9,18,0,17.2,-64.1,hurricane,130,934
3510,Hugo,1989,9,18,6,17.7,-64.8,hurricane,120,940
3511,Hugo,1989,9,18,12,18.2,-65.5,hurricane,110,945
3512,Hugo,1989,9,18,13,18.3,-65.6,hurricane,110,946
3513,Hugo,1989,9,18,18,19.1,-66.4,hurricane,105,958
3514,Hugo,1989,9,19,0,19.7,-66.8,hurricane,100,959
3515,Hugo,1989,9,19,6,20.7,-67.3,hurricane,90,962
3516,Hugo,1989,9,19,12,21.6,-68.0,hurricane,90,964
3517,Hugo,1989,9,19,18,22.6,-68.6,hurricane,90,966
3518,Hugo,1989,9,20,0,23.5,-69.3,hurricane,90,957
3519,Hugo,1989,9,20,6,24.4,-70.1,hurricane,90,957
3520,Hugo,1989,9,20,12,25.2,-71.0,hurricane,95,958
3521,Hugo,1989,9,20,18,26.3,-72.2,hurricane,95,953
3522,Hugo,1989,9,21,0,27.2,-73.4,hurricane,100,950
3523,Hugo,1989,9,21,6,28.0,-74.9,hurricane,100,950
3524,Hugo,1989,9,21,12,29.0,-76.1,hurricane,110,948
3525,Hugo,1989,9,21,18,30.2,-77.5,hurricane,120,944
3526,Hugo,1989,9,22,0,31.7,-78.8,hurricane,120,935
3527,Hugo,1989,9,22,4,32.8,-79.8,hurricane,120,934
3528,Hugo,1989,9,22,6,33.5,-80.3,hurricane,85,952
4321,Andrew,1992,8,22,6,25.6,-67.0,hurricane,65,994
4322,Andrew,1992,8,22,12,25.8,-68.3,hurricane,80,981
4323,Andrew,1992,8,22,18,25.7,-69.7,hurricane,95,969
4324,Andrew,1992,8,23,0,25.6,-71.1,hurricane,110,961
4325,Andrew,1992,8,23,6,25.5,-72.5,hurricane,130,947
4326,Andrew,1992,8,23,12,25.4,-74.2,hurricane,145,933
4327,Andrew,1992,8,23,18,25.4,-75.8,hurricane,150,922
4328,Andrew,1992,8,23,21,25.4,-76.6,hurricane,140,923
4329,Andrew,1992,8,24,0,25.4,-77.5,hurricane,125,930
4330,Andrew,1992,8,24,1,25.4,-77.8,hurricane,130,931
4331,Andrew,1992,8,24,6,25.4,-79.3,hurricane,130,937
4332,Andrew,1992,8,24,8,25.5,-80.2,hurricane,145,926
4333,Andrew,1992,8,24,9,25.5,-80.3,hurricane,145,922
4334,Andrew,1992,8,24,12,25.6,-81.2,hurricane,115,951
4335,Andrew,1992,8,24,18,25.8,-83.1,hurricane,115,947
4336,Andrew,1992,8,25,0,26.2,-85.0,hurricane,115,943
4337,Andrew,1992,8,25,6,26.6,-86.7,hurricane,115,948
4338,Andrew,1992,8,25,12,27.2,-88.2,hurricane,120,946
4339,Andrew,1992,8,25,18,27.8,-89.6,hurricane,125,941
4340,Andrew,1992,8,26,0,28.5,-90.5,hurricane,125,937
4341,Andrew,1992,8,26,6,29.2,-91.3,hurricane,120,955
4342,Andrew,1992,8,26,8,29.6,-91.5,hurricane,100,956
4343,Andrew,1992,8,26,12,30.1,-91.7,hurricane,80,973
6941,Mitch,1998,10,24,6,13.9,-77.8,hurricane,65,990
6942,Mitch,1998,10,24,12,14.5,-77.9,hurricane,75,985
6943,Mitch,1998,10,24,18,15.0,-78.1,hurricane,90,980
6944,Mitch,1998,10,25,0,15.5,-78.4,hurricane,100,965
6945,Mitch,1998,10,25,6,16.0,-78.9,hurricane,105,951
6946,Mitch,1998,10,25,12,16.2,-79.6,hurricane,115,945
6947,Mitch,1998,10,25,18,16.4,-80.3,hurricane,125,926
6948,Mitch,1998,10,26,0,16.4,-81.0,hurricane,130,923
6949,Mitch,1998,10,26,6,16.4,-81.8,hurricane,135,922
6950,Mitch,1998,10,26,12,16.6,-82.6,hurricane,145,914
6951,Mitch,1998,10,26,18,16.9,-83.1,hurricane,155,905
6952,Mitch,1998,10,27,0,17.2,-83.8,hurricane,155,910
6953,Mitch,1998,10,27,6,17.3,-84.4,hurricane,150,917
6954,Mitch,1998,10,27,12,17.1,-85.0,hurricane,150,922
6955,Mitch,1998,10,27,18,16.9,-85.4,hurricane,145,928
6956,Mitch,1998,10,28,0,16.6,-85.6,hurricane,140,933
6957,Mitch,1998,10,28,6,16.3,-85.6,hurricane,130,938
6958,Mitch,1998,10,28,12,16.3,-85.6,hurricane,115,948
6959,Mitch,1998,10,28,18,16.3,-85.7,hurricane,95,959
6960,Mitch,1998,10,29,0,16.2,-85.8,hurricane,85,970
6961,Mitch,1998,10,29,6,16.1,-85.8,hurricane,75,979
6962,Mitch,1998,10,29,12,15.9,-85.7,hurricane,70,987
9117,Isabel,2003,9,7,12,14.4,-37.3,hurricane,65,987
9118,Isabel,2003,9,7,18,15.2,-38.5,hurricane,70,984
9119,Isabel,2003,9,8,0,15.8,-39.7,hurricane,80,976
9120,Isabel,2003,9,8,6,16.5,-40.9,hurricane,95,966
9121,Isabel,2003,9,8,12,17.1,-42.0,hurricane,110,952
9122,Isabel,2003,9,8,18,17.6,-43.1,hurricane,110,952
9123,Isabel,2003,9,9,0,18.2,-44.1,hurricane,115,948
9124,Isabel,2003,9,9,6,18.9,-45.2,hurricane,115,948
9125,Isabel,2003,9,9,12,19.4,-46.3,hurricane,115,948
9126,Isabel,2003,9,9,18,20.0,-47.3,hurricane,115,948
9127,Isabel,2003,9,10,0,20.5,-48.3,hurricane,110,952
9128,Isabel,2003,9,10,6,20.9,-49.4,hurricane,110,952
9129,Isabel,2003,9,10,12,21.1,-50.4,hurricane,115,948
9130,Isabel,2003,9,10,18,21.1,-51.4,hurricane,120,942
9131,Isabel,2003,9,11,0,21.2,-52.3,hurricane,125,935
9132,Isabel,2003,9,11,6,21.3,-53.2,hurricane,125,935
9133,Isabel,2003,9,11,12,21.4,-54.0,hurricane,135,925
9134,Isabel,2003,9,11,18,21.5,-54.8,hurricane,145,915
9135,Isabel,2003,9,12,0,21.6,-55.7,hurricane,140,920
9136,Isabel,2003,9,12,6,21.7,-56.6,hurricane,140,920
9137,Isabel,2003,9,12,12,21.6,-57.4,hurricane,140,920
9138,Isabel,2003,9,12,18,21.7,-58.2,hurricane,140,920
9139,Isabel,2003,9,13,0,21.8,-59.1,hurricane,135,925
9140,Isabel,2003,9,13,6,21.9,-60.1,hurricane,130,935
9141,Isabel,2003,9,13,12,22.1,-61.0,hurricane,135,935
9142,Isabel,2003,9,13,18,22.5,-62.1,hurricane,140,932
9143,Isabel,2003,9,14,0,22.9,-63.3,hurricane,135,935
9144,Isabel,2003,9,14,6,23.2,-64.6,hurricane,135,939
9145,Isabel,2003,9,14,12,23.5,-65.8,hurricane,135,935
9146,Isabel,2003,9,14,18,23.9,-67.0,hurricane,140,933
9147,Isabel,2003,9,15,0,24.3,-67.9,hurricane,130,937
9148,Isabel,2003,9,15,6,24.5,-68.8,hurricane,125,940
9149,Isabel,2003,9,15,12,24.8,-69.4,hurricane,120,946
9150,Isabel,2003,9,15,18,25.3,-69.8,hurricane,115,949
9151,Isabel,2003,9,16,0,25.7,-70.2,hurricane,105,952
9152,Isabel,2003,9,16,6,26.3,-70.5,hurricane,100,955
9153,Isabel,2003,9,16,12,26.8,-70.9,hurricane,95,959
9154,Isabel,2003,9,16,18,27.4,-71.2,hurricane,95,959
9155,Isabel,2003,9,17,0,28.1,-71.5,hurricane,95,957
9156,Isabel,2003,9,17,6,28.9,-71.9,hurricane,95,957
9157,Isabel,2003,9,17,12,29.7,-72.5,hurricane,90,957
9158,Isabel,2003,9,17,18,30.6,-73.0,hurricane,90,955
9159,Isabel,2003,9,18,0,31.5,-73.5,hurricane,90,953
9160,Isabel,2003,9,18,6,32.5,-74.3,hurricane,90,956
9161,Isabel,2003,9,18,12,33.7,-75.2,hurricane,90,956
9162,Isabel,2003,9,18,17,34.9,-76.2,hurricane,90,957
9163,Isabel,2003,9,18,18,35.1,-76.4,hurricane,85,958
9164,Isabel,2003,9,19,0,36.7,-77.7,hurricane,65,969
9716,Ivan III,2004,9,5,6,9.5,-43.4,hurricane,65,987
9717,Ivan III,2004,9,5,12,9.8,-45.1,hurricane,85,977
9718,Ivan III,2004,9,5,18,10.2,-46.8,hurricane,110,955
9719,Ivan III,2004,9,6,0,10.6,-48.5,hurricane,115,948
9720,Ivan III,2004,9,6,6,10.8,-50.5,hurricane,110,950
9721,Ivan III,2004,9,6,12,11.0,-52.5,hurricane,110,955
9722,Ivan III,2004,9,6,18,11.3,-54.4,hurricane,90,969
9723,Ivan III,2004,9,7,0,11.2,-56.1,hurricane,90,964
9724,Ivan III,2004,9,7,6,11.3,-57.8,hurricane,95,965
9725,Ivan III,2004,9,7,12,11.6,-59.4,hurricane,100,963
9726,Ivan III,2004,9,7,18,11.8,-61.1,hurricane,105,956
9727,Ivan III,2004,9,7,21,11.9,-61.8,hurricane,110,952
9728,Ivan III,2004,9,8,0,12.0,-62.6,hurricane,115,950
9729,Ivan III,2004,9,8,6,12.3,-64.1,hurricane,120,946
9730,Ivan III,2004,9,8,12,12.6,-65.5,hurricane,120,955
9731,Ivan III,2004,9,8,18,13.0,-67.0,hurricane,120,950
9732,Ivan III,2004,9,9,0,13.3,-68.3,hurricane,130,938
9733,Ivan III,2004,9,9,6,13.7,-69.5,hurricane,140,925
9734,Ivan III,2004,9,9,12,14.2,-70.8,hurricane,140,919
9735,Ivan III,2004,9,9,18,14.7,-71.9,hurricane,130,921
9736,Ivan III,2004,9,10,0,15.2,-72.8,hurricane,130,923
9737,Ivan III,2004,9,10,6,15.7,-73.8,hurricane,125,930
9738,Ivan III,2004,9,10,12,16.2,-74.7,hurricane,125,934
9739,Ivan III,2004,9,10,18,16.8,-75.8,hurricane,120,940
9740,Ivan III,2004,9,11,0,17.3,-76.5,hurricane,135,926
9741,Ivan III,2004,9,11,3,17.4,-77.2,hurricane,130,924
9742,Ivan III,2004,9,11,6,17.4,-77.6,hurricane,130,923
9743,Ivan III,2004,9,11,12,17.7,-78.4,hurricane,125,925
9744,Ivan III,2004,9,11,18,18.0,-79.0,hurricane,145,920
9745,Ivan III,2004,9,12,0,18.2,-79.6,hurricane,145,910
9746,Ivan III,2004,9,12,6,18.4,-80.4,hurricane,135,915
9747,Ivan III,2004,9,12,12,18.8,-81.2,hurricane,135,919
9748,Ivan III,2004,9,12,14,18.9,-81.5,hurricane,130,920
9749,Ivan III,2004,9,12,18,19.1,-82.1,hurricane,130,920
9750,Ivan III,2004,9,13,0,19.5,-82.8,hurricane,140,916
9751,Ivan III,2004,9,13,6,19.9,-83.5,hurricane,140,920
9752,Ivan III,2004,9,13,12,20.4,-84.1,hurricane,140,915
9753,Ivan III,2004,9,13,18,20.9,-84.7,hurricane,140,912
9754,Ivan III,2004,9,13,21,21.2,-84.8,hurricane,140,910
9755,Ivan III,2004,9,14,0,21.6,-85.1,hurricane,140,914
9756,Ivan III,2004,9,14,1,21.7,-85.2,hurricane,140,916
9757,Ivan III,2004,9,14,6,22.4,-85.6,hurricane,140,924
9758,Ivan III,2004,9,14,12,23.0,-86.0,hurricane,125,930
9759,Ivan III,2004,9,14,18,23.7,-86.5,hurricane,120,931
9760,Ivan III,2004,9,15,0,24.7,-87.0,hurricane,120,928
9761,Ivan III,2004,9,15,6,25.6,-87.4,hurricane,120,935
9762,Ivan III,2004,9,15,12,26.7,-87.9,hurricane,115,939
9763,Ivan III,2004,9,15,18,27.9,-88.2,hurricane,115,937
9764,Ivan III,2004,9,16,0,28.9,-88.2,hurricane,110,931
9765,Ivan III,2004,9,16,6,30.0,-87.9,hurricane,105,943
9766,Ivan III,2004,9,16,6,30.2,-87.9,hurricane,105,946
9767,Ivan III,2004,9,16,12,31.4,-87.7,hurricane,70,965
10175,Emily V,2005,7,14,0,11.6,-60.2,hurricane,70,999
10176,Emily V,2005,7,14,6,11.9,-61.5,hurricane,75,991
10177,Emily V,2005,7,14,7,12.0,-61.8,hurricane,75,989
10178,Emily V,2005,7,14,12,12.4,-63.2,hurricane,85,980
10179,Emily V,2005,7,14,18,12.9,-64.9,hurricane,100,971
10180,Emily V,2005,7,15,0,13.3,-66.7,hurricane,110,959
10181,Emily V,2005,7,15,6,13.7,-68.4,hurricane,115,952
10182,Emily V,2005,7,15,12,14.1,-70.1,hurricane,115,964
10183,Emily V,2005,7,15,18,14.5,-71.8,hurricane,95,969
10184,Emily V,2005,7,16,0,14.9,-73.4,hurricane,110,958
10185,Emily V,2005,7,16,6,15.4,-75.0,hurricane,120,953
10186,Emily V,2005,7,16,12,15.9,-76.5,hurricane,130,944
10187,Emily V,2005,7,16,18,16.4,-78.0,hurricane,135,937
10188,Emily V,2005,7,17,0,17.1,-79.5,hurricane,140,929
10189,Emily V,2005,7,17,6,17.7,-81.2,hurricane,135,940
10190,Emily V,2005,7,17,12,18.3,-82.8,hurricane,130,946
10191,Emily V,2005,7,17,18,18.9,-84.3,hurricane,125,948
10192,Emily V,2005,7,18,0,19.5,-85.8,hurricane,120,951
10193,Emily V,2005,7,18,6,20.3,-87.3,hurricane,115,955
10194,Emily V,2005,7,18,6,20.3,-87.4,hurricane,115,955
10195,Emily V,2005,7,18,12,21.3,-88.9,hurricane,65,975
10196,Emily V,2005,7,18,18,22.0,-90.3,hurricane,65,984
10197,Emily V,2005,7,19,0,22.6,-91.5,hurricane,75,981
10198,Emily V,2005,7,19,6,23.2,-92.8,hurricane,80,980
10199,Emily V,2005,7,19,12,23.7,-94.0,hurricane,80,977
10200,Emily V,2005,7,19,18,24.1,-95.1,hurricane,85,959
10201,Emily V,2005,7,20,0,24.4,-96.1,hurricane,110,948
10202,Emily V,2005,7,20,6,24.6,-96.9,hurricane,110,944
10203,Emily V,2005,7,20,12,24.8,-97.6,hurricane,110,944
10393,Katrina III,2005,8,25,22,26.0,-80.1,hurricane,70,984
10394,Katrina III,2005,8,26,0,25.9,-80.3,hurricane,70,983
10395,Katrina III,2005,8,26,6,25.4,-81.3,hurricane,65,987
10396,Katrina III,2005,8,26,12,25.1,-82.0,hurricane,75,979
10397,Katrina III,2005,8,26,18,24.9,-82.6,hurricane,85,968
10398,Katrina III,2005,8,27,0,24.6,-83.3,hurricane,90,959
10399,Katrina III,2005,8,27,6,24.4,-84.0,hurricane,95,950
10400,Katrina III,2005,8,27,12,24.4,-84.7,hurricane,100,942
10401,Katrina III,2005,8,27,18,24.5,-85.3,hurricane,100,948
10402,Katrina III,2005,8,28,0,24.8,-85.9,hurricane,100,941
10403,Katrina III,2005,8,28,6,25.2,-86.7,hurricane,125,930
10404,Katrina III,2005,8,28,12,25.7,-87.7,hurricane,145,909
10405,Katrina III,2005,8,28,18,26.3,-88.6,hurricane,150,902
